# t (s),C_000 (ppm),C_001 (ppm),C_002 (ppm),C_010 (ppm),C_011 (ppm),C_012 (ppm),C_020 (ppm),C_021 (ppm),C_022 (ppm),C_100 (ppm),C_101 (ppm),C_102 (ppm),C_110 (ppm),C_111 (ppm),C_112 (ppm),C_120 (ppm),C_121 (ppm),C_122 (ppm),C_200 (ppm),C_201 (ppm),C_202 (ppm),C_210 (ppm),C_211 (ppm),C_212 (ppm),C_220 (ppm),C_221 (ppm),C_222 (ppm),T_1 (deg),T_2 (deg),T_3 (deg),T_4 (deg),H_1 (% r.h.),H_2 (% r.h.),H_3 (% r.h.),H_4 (% r.h.),Wdir (deg),Wspd (m/s)
0.000,-0.049,-0.018,-0.014,0.042,-0.005,0.006,-0.013,-0.011,-0.002,0.014,-0.015,-0.081,-0.028,0.001,-0.010,0.038,-0.035,-0.048,-0.028,-0.022,0.015,-0.018,0.031,-0.016,-0.012,-0.003,0.004,22.010,21.833,22.400,22.800,28.297,23.952,26.711,25.096,197.000,0.020
0.500,-0.049,-0.018,-0.014,0.038,-0.005,0.006,0.026,-0.011,-0.002,0.014,-0.015,-0.039,-0.028,0.001,-0.010,0.038,-0.035,-0.048,-0.070,-0.037,0.015,-0.018,0.031,-0.016,-0.011,-0.003,0.005,22.010,21.832,22.400,22.800,28.297,23.952,26.713,25.096,197.000,0.020
1.000,-0.049,-0.036,-0.014,0.042,-0.005,0.006,0.027,-0.011,-0.052,0.014,0.044,-0.039,-0.028,0.001,-0.010,0.038,-0.035,-0.048,-0.092,-0.037,-0.004,-0.027,0.031,-0.016,-0.011,-0.058,0.005,22.010,21.831,22.400,22.800,28.297,23.953,26.716,25.096,197.000,0.020
1.500,-0.049,-0.089,-0.052,0.118,-0.005,0.006,0.028,-0.011,-0.052,0.014,0.044,-0.313,-0.028,0.001,-0.011,0.038,0.001,0.000,-0.092,-0.040,-0.049,-0.027,0.031,-0.016,-0.009,-0.003,0.005,22.010,21.830,22.400,22.800,28.297,23.954,26.718,25.096,197.000,0.020
2.000,-0.049,-0.097,-0.052,0.118,-0.005,0.006,0.026,-0.004,-0.052,0.014,0.044,-0.197,-0.028,0.001,-0.011,0.038,0.001,0.000,-0.092,-0.037,-0.065,-0.027,0.031,-0.016,-0.009,-0.058,0.005,22.010,21.830,22.400,22.800,28.297,23.956,26.721,25.096,197.000,0.020
2.500,-0.049,-0.097,-0.011,0.265,-0.005,0.006,0.030,-0.010,-0.002,0.014,0.089,-0.039,-0.028,0.001,-0.011,0.038,0.001,0.000,-0.092,-0.034,-0.004,-0.027,0.031,-0.016,0.028,-0.058,0.010,22.010,21.831,22.400,22.800,28.297,23.957,26.723,25.096,197.000,0.020
3.000,-0.009,-0.036,-0.011,0.265,-0.005,0.006,0.030,-0.010,-0.002,0.004,0.123,0.093,-0.028,0.001,-0.010,0.038,0.001,0.000,-0.057,-0.021,-0.004,-0.027,0.056,-0.016,-0.008,-0.058,0.010,22.010,21.833,22.400,22.800,28.297,23.959,26.725,25.096,197.000,0.020
3.500,0.037,-0.018,0.001,0.265,-0.005,0.006,0.025,-0.010,-0.002,-0.007,0.123,0.292,-0.028,0.001,-0.000,0.038,0.001,0.000,-0.017,-0.034,0.015,-0.027,0.031,-0.016,-0.009,-0.007,0.010,22.010,21.832,22.400,22.800,28.297,23.960,26.728,25.096,197.000,0.024
4.000,0.046,-0.003,0.001,0.118,-0.005,0.006,-0.013,-0.012,-0.049,-0.015,0.105,0.305,-0.028,0.056,-0.000,0.038,0.001,0.000,-0.017,-0.021,0.015,-0.027,0.031,-0.016,-0.014,-0.007,0.010,22.010,21.833,22.400,22.800,28.297,23.961,26.730,25.096,197.000,0.030
4.500,0.046,0.046,0.001,0.046,-0.005,0.006,-0.013,-0.012,-0.050,-0.015,0.105,0.305,-0.028,0.065,-0.000,0.038,0.001,0.000,-0.017,-0.021,0.015,-0.011,0.031,-0.016,-0.016,0.005,0.010,22.010,21.834,22.400,22.800,28.297,23.961,26.733,25.096,197.000,0.030
5.000,0.046,0.063,0.001,-0.042,-0.005,0.006,-0.013,-0.012,-0.059,-0.032,0.105,0.292,-0.009,0.052,-0.009,0.038,0.001,0.000,-0.017,-0.021,0.015,-0.011,0.007,-0.016,-0.016,0.005,0.010,22.010,21.836,22.400,22.800,28.297,23.964,26.736,25.096,197.000,0.030
5.500,0.037,0.063,0.001,-0.042,-0.005,0.006,-0.013,-0.012,-0.059,-0.032,0.082,0.223,-0.009,0.052,-0.012,0.038,0.001,0.000,-0.017,-0.017,0.015,-0.011,0.006,-0.016,-0.017,0.005,0.010,22.010,21.837,22.400,22.800,28.297,23.965,26.738,25.096,197.000,0.030
6.000,0.037,0.046,0.001,-0.042,-0.005,0.006,-0.013,-0.012,-0.063,-0.032,0.019,0.180,-0.009,0.052,-0.012,0.038,0.001,0.000,-0.017,-0.017,0.015,-0.012,-0.001,-0.016,-0.016,0.005,0.010,22.010,21.838,22.400,22.800,28.297,23.966,26.741,25.096,119.155,0.018
6.500,0.022,-0.018,0.001,0.026,-0.005,0.006,-0.013,-0.010,-0.063,-0.032,0.019,0.180,-0.009,0.001,-0.009,0.038,0.001,0.000,-0.017,-0.017,0.015,-0.022,-0.001,-0.016,-0.006,0.005,0.006,22.010,21.838,22.400,22.800,28.295,23.967,26.743,25.096,34.416,0.003
7.000,0.022,-0.018,0.001,0.026,-0.005,0.006,-0.013,-0.012,-0.047,-0.032,0.019,0.180,-0.010,0.001,-0.000,0.038,0.001,0.000,-0.017,-0.017,0.015,-0.027,0.007,-0.016,0.028,0.007,0.006,22.010,21.836,22.400,22.800,28.295,23.967,26.746,25.096,137.241,0.014
7.500,0.022,-0.018,0.001,0.026,-0.005,0.006,-0.013,-0.018,-0.046,-0.017,0.019,0.180,-0.010,0.001,-0.000,0.038,0.001,0.000,-0.017,-0.017,0.015,-0.022,-0.002,-0.016,0.028,0.007,0.006,22.010,21.835,22.400,22.800,28.295,23.969,26.747,25.096,197.000,0.020
8.000,0.037,-0.018,0.001,0.025,-0.005,0.006,-0.013,-0.018,-0.019,0.014,0.035,0.152,-0.010,0.001,-0.000,0.038,0.001,0.000,-0.017,-0.017,0.015,-0.022,0.008,-0.016,0.028,0.007,0.004,22.010,21.835,22.400,22.800,28.294,23.970,26.748,25.096,197.000,0.020
8.501,0.037,-0.018,0.001,0.025,-0.005,0.006,-0.013,-0.018,-0.002,0.014,0.035,-0.026,-0.010,0.050,-0.000,0.038,0.001,0.000,-0.017,-0.017,0.015,-0.027,0.021,-0.016,0.028,0.007,0.004,22.010,21.834,22.400,22.800,28.293,23.969,26.751,25.096,197.000,0.020
9.001,0.037,-0.018,0.001,0.025,-0.005,0.006,-0.013,-0.018,-0.002,0.014,0.035,-0.026,-0.003,0.051,-0.000,0.038,0.001,0.000,-0.017,-0.017,0.015,-0.020,0.017,-0.016,0.015,0.007,0.004,22.010,21.831,22.400,22.800,28.293,23.967,26.753,25.096,197.000,0.020
9.501,0.037,-0.018,0.001,0.118,-0.005,0.006,0.021,-0.018,0.058,0.014,0.019,-0.026,-0.003,0.050,-0.000,0.038,0.001,0.000,-0.017,-0.017,0.015,-0.017,0.008,-0.016,-0.004,0.008,0.006,22.010,21.831,22.400,22.800,28.293,23.968,26.754,25.096,197.000,0.020
