# t (s),C_000 (ppm),C_001 (ppm),C_002 (ppm),C_010 (ppm),C_011 (ppm),C_012 (ppm),C_020 (ppm),C_021 (ppm),C_022 (ppm),C_100 (ppm),C_101 (ppm),C_102 (ppm),C_110 (ppm),C_111 (ppm),C_112 (ppm),C_120 (ppm),C_121 (ppm),C_122 (ppm),C_200 (ppm),C_201 (ppm),C_202 (ppm),C_210 (ppm),C_211 (ppm),C_212 (ppm),C_220 (ppm),C_221 (ppm),C_222 (ppm),T_1 (deg),T_2 (deg),T_3 (deg),T_4 (deg),H_1 (% r.h.),H_2 (% r.h.),H_3 (% r.h.),H_4 (% r.h.),Wdir (deg),Wspd (m/s)
0.000,-0.022,0.031,-0.070,-0.042,0.042,0.027,0.004,0.007,-0.020,-0.062,-0.022,-0.018,-0.122,-0.020,-0.022,-0.050,-0.003,-0.063,-0.030,0.026,0.028,-0.031,-0.015,-0.140,-0.051,-0.033,-0.021,21.853,21.685,22.200,22.790,33.753,32.731,32.353,29.700,33.000,0.010
0.500,-0.022,0.031,-0.070,-0.011,0.042,0.027,0.004,0.007,-0.078,-0.057,-0.022,-0.018,-0.122,-0.020,-0.025,-0.050,-0.003,-0.063,-0.045,0.026,0.028,-0.031,-0.015,-0.140,-0.051,-0.009,-0.016,21.852,21.685,22.200,22.790,33.752,32.729,32.354,29.700,33.000,0.010
1.000,-0.003,0.031,-0.053,-0.042,0.042,0.018,0.004,0.007,-0.078,-0.057,-0.022,-0.018,-0.131,-0.043,-0.025,-0.050,0.011,0.002,-0.045,0.023,0.028,-0.031,-0.015,-0.126,-0.051,0.018,-0.016,21.852,21.684,22.200,22.790,33.752,32.728,32.355,29.700,33.000,0.010
1.500,-0.003,0.031,-0.014,-0.042,0.042,0.018,0.004,0.007,-0.078,-0.033,-0.022,-0.018,-0.122,-0.020,-0.032,-0.050,0.011,0.002,-0.031,0.016,0.028,-0.023,-0.015,-0.111,-0.051,0.064,-0.013,21.853,21.682,22.200,22.790,33.753,32.724,32.357,29.700,33.000,0.010
2.000,-0.003,0.031,-0.014,-0.038,0.042,0.018,0.004,0.007,-0.059,-0.033,-0.022,-0.018,-0.122,-0.020,-0.035,-0.050,0.038,0.002,-0.031,0.005,0.028,-0.023,-0.015,-0.068,-0.018,0.064,-0.013,21.856,21.683,22.200,22.791,33.756,32.723,32.357,29.700,33.000,0.010
2.500,0.009,0.031,0.002,-0.038,0.042,0.018,0.004,0.007,-0.059,-0.033,-0.022,-0.011,-0.122,-0.020,-0.035,-0.050,0.040,0.002,-0.031,-0.003,0.028,-0.023,-0.015,-0.052,-0.018,0.064,-0.016,21.858,21.684,22.200,22.793,33.758,32.722,32.357,29.700,33.000,0.010
3.000,-0.008,-0.042,-0.014,-0.104,0.042,0.018,0.004,0.007,-0.059,-0.040,-0.022,-0.011,-0.131,-0.020,-0.038,-0.045,0.038,0.002,-0.018,-0.003,0.028,-0.023,-0.015,-0.060,-0.030,0.064,-0.016,21.859,21.682,22.200,22.794,33.759,32.720,32.357,29.700,27.098,0.008
3.500,-0.022,-0.042,-0.037,-0.038,0.042,0.018,0.004,0.007,-0.062,-0.071,-0.022,-0.011,-0.123,-0.020,-0.038,-0.045,0.040,0.002,-0.018,-0.003,0.028,-0.023,-0.015,-0.060,-0.030,0.044,-0.016,21.859,21.682,22.200,22.794,33.759,32.719,32.358,29.700,0.653,0.000
4.000,-0.023,0.030,-0.057,-0.038,0.042,0.018,0.004,0.007,-0.062,-0.072,-0.022,-0.018,-0.123,-0.020,-0.038,-0.034,0.051,0.002,0.014,-0.015,-0.049,-0.020,-0.006,-0.060,-0.030,-0.054,-0.018,21.857,21.682,22.200,22.794,33.757,32.719,32.360,29.700,18.207,0.006
4.501,-0.031,-0.042,-0.070,-0.108,0.034,0.011,0.004,0.007,-0.078,-0.072,0.008,-0.018,-0.123,-0.020,-0.035,-0.029,0.041,0.002,-0.018,-0.025,-0.111,-0.020,-0.006,-0.082,-0.030,-0.113,-0.018,21.857,21.682,22.200,22.794,33.757,32.720,32.362,29.700,33.000,0.010
