# t (s),C_000 (ppm),C_001 (ppm),C_002 (ppm),C_010 (ppm),C_011 (ppm),C_012 (ppm),C_020 (ppm),C_021 (ppm),C_022 (ppm),C_100 (ppm),C_101 (ppm),C_102 (ppm),C_110 (ppm),C_111 (ppm),C_112 (ppm),C_120 (ppm),C_121 (ppm),C_122 (ppm),C_200 (ppm),C_201 (ppm),C_202 (ppm),C_210 (ppm),C_211 (ppm),C_212 (ppm),C_220 (ppm),C_221 (ppm),C_222 (ppm),T_1 (deg),T_2 (deg),T_3 (deg),T_4 (deg),H_1 (% r.h.),H_2 (% r.h.),H_3 (% r.h.),H_4 (% r.h.),Wdir (deg),Wspd (m/s)
0.000,0.010,0.000,0.000,0.068,0.000,0.000,0.000,0.007,0.011,0.012,0.147,0.000,0.012,0.066,0.000,0.002,0.135,0.000,0.000,0.000,0.063,0.013,0.007,0.000,0.000,0.000,0.000,22.000,21.802,22.500,23.000,33.310,29.302,31.064,29.700,235.000,0.010
0.500,0.000,0.000,0.000,0.008,0.000,0.000,0.000,0.001,0.000,0.012,0.048,0.000,0.000,0.023,0.000,0.000,0.135,0.000,0.000,0.000,0.000,0.005,0.007,0.000,0.025,0.000,0.000,22.000,21.802,22.500,23.000,33.308,29.302,31.061,29.700,235.000,0.010
1.000,0.000,0.000,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.048,0.000,0.000,0.023,0.000,0.005,0.135,0.004,0.000,0.000,0.127,0.005,0.035,0.025,0.025,0.003,0.000,22.000,21.802,22.500,23.000,33.306,29.302,31.059,29.700,235.000,0.010
1.500,0.012,0.037,0.046,0.000,0.000,0.000,0.000,0.000,0.024,0.036,0.152,0.122,0.000,0.023,0.000,0.016,0.135,0.000,0.007,0.000,0.196,0.005,0.029,0.000,0.000,0.000,0.000,22.000,21.801,22.500,23.000,33.305,29.301,31.056,29.700,235.000,0.010
2.000,0.012,0.036,0.008,0.000,0.000,0.000,0.000,0.001,0.013,0.035,0.150,0.270,0.000,0.023,0.000,0.002,0.101,0.000,0.007,0.000,0.196,0.015,0.007,0.000,0.000,0.001,0.000,22.000,21.800,22.500,23.000,33.305,29.300,31.054,29.700,235.000,0.015
2.500,0.000,0.000,0.024,0.008,0.000,0.000,0.000,0.001,0.000,0.012,0.048,0.388,0.000,0.023,0.000,0.000,0.107,0.000,0.000,0.000,0.170,0.003,0.007,0.000,0.025,0.106,0.000,22.000,21.800,22.500,23.000,33.303,29.300,31.051,29.700,235.000,0.018
3.000,0.091,0.063,0.072,0.008,0.000,0.000,0.000,0.001,0.023,0.012,0.048,0.205,0.000,0.023,0.000,0.019,0.135,0.000,0.000,0.000,0.091,0.000,0.035,0.000,0.000,0.095,0.000,22.000,21.800,22.500,23.000,33.302,29.300,31.049,29.700,235.000,0.013
3.500,0.087,0.022,0.139,0.008,0.000,0.000,0.000,0.000,0.064,0.035,0.048,0.122,0.000,0.000,0.000,0.014,0.101,0.000,0.000,0.000,0.055,0.000,0.002,0.000,0.000,0.000,0.007,22.000,21.800,22.500,23.000,33.302,29.300,31.046,29.700,235.000,0.010
4.000,0.011,0.000,0.101,0.008,0.000,0.000,0.000,0.000,0.014,0.035,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.007,0.000,0.000,0.037,0.000,0.000,0.000,0.000,0.012,22.000,21.800,22.500,23.000,33.301,29.300,31.043,29.700,235.000,0.010
4.500,0.000,0.000,0.008,0.008,0.000,0.000,0.000,0.001,0.022,0.004,0.000,0.000,0.000,0.023,0.000,0.005,0.014,0.000,0.007,0.000,0.000,0.009,0.000,0.000,0.000,0.066,0.012,22.000,21.800,22.500,23.000,33.300,29.300,31.041,29.700,235.000,0.010
