# t (s),C_000 (ppm),C_001 (ppm),C_002 (ppm),C_010 (ppm),C_011 (ppm),C_012 (ppm),C_020 (ppm),C_021 (ppm),C_022 (ppm),C_100 (ppm),C_101 (ppm),C_102 (ppm),C_110 (ppm),C_111 (ppm),C_112 (ppm),C_120 (ppm),C_121 (ppm),C_122 (ppm),C_200 (ppm),C_201 (ppm),C_202 (ppm),C_210 (ppm),C_211 (ppm),C_212 (ppm),C_220 (ppm),C_221 (ppm),C_222 (ppm),T_1 (deg),T_2 (deg),T_3 (deg),T_4 (deg),H_1 (% r.h.),H_2 (% r.h.),H_3 (% r.h.),H_4 (% r.h.),Wdir (deg),Wspd (m/s)
0.000,-0.076,-0.041,0.066,-0.011,-0.013,0.034,0.002,0.020,-0.001,-0.032,0.010,0.073,-0.081,-0.107,-0.013,-0.039,0.006,0.029,-0.114,-0.003,-0.015,-0.018,0.055,-0.001,-0.029,-0.025,-0.011,21.897,21.800,22.400,22.665,45.256,41.503,41.898,39.667,5.977,0.013
0.500,-0.076,0.002,0.050,-0.011,-0.013,0.034,0.002,0.023,-0.085,-0.032,0.046,-0.052,-0.081,-0.107,-0.013,-0.039,0.018,0.029,-0.087,-0.003,-0.041,-0.018,0.055,-0.001,-0.029,-0.025,-0.011,21.897,21.800,22.400,22.665,45.253,41.503,41.896,39.668,9.000,0.020
1.000,-0.076,-0.001,0.041,-0.011,-0.013,0.034,0.002,0.023,-0.036,-0.032,0.067,-0.126,-0.081,-0.056,-0.013,-0.039,0.052,0.029,-0.082,-0.003,-0.057,-0.018,0.055,-0.001,-0.093,-0.025,-0.011,21.897,21.800,22.400,22.663,45.251,41.503,41.895,39.666,9.000,0.020
1.500,-0.025,-0.001,0.016,-0.011,-0.022,0.034,0.002,0.023,-0.036,-0.032,0.128,-0.127,-0.101,-0.056,-0.013,-0.039,0.052,0.029,-0.082,-0.003,-0.057,-0.018,0.055,-0.002,-0.093,-0.025,-0.002,21.896,21.800,22.400,22.661,45.246,41.503,41.895,39.665,9.000,0.020
2.000,-0.025,0.002,0.016,-0.011,-0.022,0.034,0.002,0.023,-0.038,-0.032,0.162,-0.127,-0.101,-0.105,-0.018,-0.039,0.018,-0.020,-0.082,-0.003,-0.056,-0.018,0.055,-0.002,-0.093,-0.025,0.000,21.895,21.800,22.400,22.662,45.243,41.503,41.895,39.668,9.000,0.020
2.500,-0.025,0.002,0.050,-0.011,-0.022,0.034,0.002,0.023,-0.038,-0.032,0.128,-0.127,-0.089,-0.057,-0.013,-0.039,0.018,-0.020,-0.095,-0.010,-0.041,-0.018,0.055,-0.002,-0.043,-0.004,0.000,21.895,21.800,22.400,22.665,45.240,41.503,41.895,39.672,9.000,0.017
3.000,-0.025,-0.001,0.056,-0.011,-0.022,0.034,-0.012,0.023,-0.038,-0.032,0.128,-0.127,-0.081,-0.056,-0.013,-0.034,0.006,-0.020,-0.126,-0.013,0.081,-0.018,0.055,0.010,-0.029,-0.004,0.000,21.895,21.800,22.400,22.664,45.238,41.503,41.895,39.674,9.000,0.011
3.500,-0.025,-0.012,0.056,-0.011,-0.022,0.034,0.002,0.012,-0.084,-0.032,0.049,-0.004,-0.081,-0.037,-0.006,-0.034,0.006,0.027,-0.126,-0.013,0.081,-0.018,0.055,0.010,-0.029,0.051,0.000,21.893,21.800,22.400,22.662,45.234,41.503,41.895,39.674,9.000,0.010
4.000,-0.025,-0.041,0.056,-0.011,-0.022,0.034,0.002,0.019,-0.083,-0.032,0.010,0.035,-0.081,-0.057,-0.006,-0.039,0.006,0.027,-0.126,-0.010,0.081,-0.018,0.055,0.010,-0.029,0.051,0.000,21.893,21.800,22.400,22.663,45.230,41.503,41.895,39.678,9.000,0.010
4.500,-0.025,-0.041,0.066,-0.011,-0.022,0.034,0.002,0.019,-0.083,-0.032,0.010,0.073,-0.081,-0.057,-0.001,-0.039,0.006,0.027,-0.133,-0.010,0.064,-0.018,0.055,0.010,-0.029,0.051,0.000,21.893,21.800,22.400,22.664,45.228,41.504,41.893,39.681,9.000,0.010
5.000,-0.025,-0.041,0.066,-0.011,-0.022,0.034,0.002,0.012,-0.083,-0.032,0.010,0.073,-0.072,-0.037,0.004,-0.033,0.006,0.046,-0.133,-0.003,0.064,-0.018,0.055,0.010,-0.029,-0.002,0.000,21.893,21.800,22.400,22.663,45.223,41.505,41.891,39.682,2.106,0.002
5.500,-0.014,-0.041,0.066,-0.011,-0.022,0.034,0.002,0.012,-0.038,-0.032,0.034,0.114,-0.072,-0.037,0.004,-0.033,0.006,0.046,-0.133,-0.003,0.016,-0.033,0.055,0.010,-0.029,-0.002,0.000,21.893,21.800,22.400,22.662,45.220,41.505,41.890,39.684,5.566,0.006
6.000,-0.014,-0.003,0.066,-0.041,-0.022,0.034,0.002,0.009,0.022,-0.032,0.034,0.114,-0.081,-0.058,0.004,-0.039,0.008,0.026,-0.133,-0.003,0.003,-0.033,0.055,0.010,-0.029,-0.002,0.000,21.893,21.800,22.400,22.662,45.218,41.505,41.889,39.687,9.000,0.010
6.500,-0.014,0.004,0.066,-0.041,-0.022,0.034,0.002,0.009,0.022,-0.032,0.034,0.114,-0.081,-0.058,0.004,-0.039,0.020,0.026,-0.133,-0.003,0.003,-0.033,0.055,0.010,-0.029,0.049,0.000,21.892,21.800,22.400,22.662,45.213,41.505,41.886,39.689,9.000,0.010
7.000,-0.077,0.004,0.066,-0.011,-0.022,0.034,0.002,0.009,0.022,-0.032,0.010,-0.133,-0.081,-0.016,0.004,-0.039,0.020,0.046,-0.133,-0.013,-0.097,-0.037,0.055,0.010,-0.029,0.049,0.000,21.892,21.800,22.400,22.662,45.209,41.505,41.885,39.692,9.000,0.010
7.500,-0.077,0.004,0.017,-0.011,-0.022,0.034,0.002,0.009,0.022,-0.055,-0.015,-0.133,-0.090,-0.016,0.004,-0.039,0.049,0.025,-0.133,-0.029,-0.107,-0.037,0.055,0.010,-0.029,0.049,-0.008,21.892,21.800,22.400,22.662,45.204,41.505,41.885,39.694,9.000,0.016
8.000,-0.077,0.004,0.017,-0.011,-0.022,0.034,0.002,0.005,0.022,-0.055,-0.015,-0.133,-0.090,-0.037,0.004,-0.039,0.049,-0.016,-0.152,-0.029,-0.107,-0.037,0.055,0.010,-0.029,0.046,-0.011,21.892,21.800,22.400,22.661,45.199,41.505,41.885,39.696,9.000,0.017
