# t (s),C_000 (ppm),C_001 (ppm),C_002 (ppm),C_010 (ppm),C_011 (ppm),C_012 (ppm),C_020 (ppm),C_021 (ppm),C_022 (ppm),C_100 (ppm),C_101 (ppm),C_102 (ppm),C_110 (ppm),C_111 (ppm),C_112 (ppm),C_120 (ppm),C_121 (ppm),C_122 (ppm),C_200 (ppm),C_201 (ppm),C_202 (ppm),C_210 (ppm),C_211 (ppm),C_212 (ppm),C_220 (ppm),C_221 (ppm),C_222 (ppm),T_1 (deg),T_2 (deg),T_3 (deg),T_4 (deg),H_1 (% r.h.),H_2 (% r.h.),H_3 (% r.h.),H_4 (% r.h.),Wdir (deg),Wspd (m/s)
0.000,0.000,0.000,0.064,0.012,0.014,0.034,0.019,0.020,0.000,0.000,0.023,0.080,0.000,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.054,0.002,0.000,0.000,0.000,21.897,21.800,22.400,22.665,45.256,41.503,41.898,39.667,5.977,0.013
0.500,0.000,0.000,0.039,0.000,0.022,0.034,0.007,0.023,0.027,0.000,0.080,0.000,0.000,0.000,0.000,0.000,0.052,0.026,0.000,0.000,0.000,0.000,0.054,0.059,0.000,0.000,0.000,21.897,21.800,22.400,22.665,45.253,41.503,41.896,39.668,9.000,0.020
1.000,0.000,0.000,0.000,0.000,0.000,0.034,0.007,0.023,0.000,0.000,0.174,0.000,0.000,0.000,0.000,0.000,0.019,0.043,0.000,0.000,0.000,0.000,0.022,0.025,0.000,0.000,0.000,21.897,21.800,22.400,22.663,45.251,41.503,41.895,39.666,9.000,0.020
1.500,0.079,0.051,0.049,0.000,0.000,0.034,0.007,0.023,0.000,0.000,0.059,0.000,0.000,0.000,0.000,0.000,0.052,0.043,0.000,0.000,0.000,0.000,0.046,0.000,0.000,0.047,0.000,21.896,21.800,22.400,22.661,45.246,41.503,41.895,39.665,9.000,0.020
2.000,0.022,0.000,0.013,0.000,0.000,0.005,0.000,0.023,0.000,0.000,0.140,0.000,0.000,0.000,0.000,0.000,0.064,0.000,0.000,0.000,0.000,0.000,0.054,0.000,0.000,0.000,0.000,21.895,21.800,22.400,22.662,45.243,41.503,41.895,39.668,9.000,0.020
2.500,0.000,0.000,0.014,0.000,0.000,0.026,0.028,0.012,0.000,0.000,0.194,0.000,0.000,0.000,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,0.054,0.001,0.000,0.000,0.000,21.895,21.800,22.400,22.665,45.240,41.503,41.895,39.672,9.000,0.017
3.000,0.000,0.062,0.055,0.000,0.000,0.034,0.021,0.009,0.000,0.000,0.194,0.042,0.000,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.074,0.000,0.054,0.013,0.000,0.000,0.000,21.895,21.800,22.400,22.664,45.238,41.503,41.895,39.674,9.000,0.011
3.500,0.000,0.000,0.122,0.000,0.013,0.062,0.000,0.031,0.042,0.000,0.062,0.000,0.000,0.000,0.000,0.000,0.007,0.024,0.000,0.000,0.106,0.000,0.054,0.013,0.000,0.045,0.000,21.893,21.800,22.400,22.662,45.234,41.503,41.895,39.674,9.000,0.010
4.000,0.000,0.000,0.084,0.000,0.000,0.042,0.000,0.026,0.000,0.000,0.023,0.002,0.000,0.000,0.020,0.000,0.007,0.043,0.000,0.000,0.106,0.000,0.054,0.013,0.000,0.067,0.000,21.893,21.800,22.400,22.663,45.230,41.503,41.895,39.678,9.000,0.010
4.500,0.000,0.000,0.007,0.000,0.000,0.034,0.007,0.012,0.000,0.000,0.023,0.080,0.000,0.000,0.008,0.000,0.007,0.043,0.000,0.000,0.009,0.000,0.023,0.013,0.000,0.067,0.000,21.893,21.800,22.400,22.664,45.228,41.504,41.893,39.681,9.000,0.010
