# t (s),C_000 (ppm),C_001 (ppm),C_002 (ppm),C_010 (ppm),C_011 (ppm),C_012 (ppm),C_020 (ppm),C_021 (ppm),C_022 (ppm),C_100 (ppm),C_101 (ppm),C_102 (ppm),C_110 (ppm),C_111 (ppm),C_112 (ppm),C_120 (ppm),C_121 (ppm),C_122 (ppm),C_200 (ppm),C_201 (ppm),C_202 (ppm),C_210 (ppm),C_211 (ppm),C_212 (ppm),C_220 (ppm),C_221 (ppm),C_222 (ppm),T_1 (deg),T_2 (deg),T_3 (deg),T_4 (deg),H_1 (% r.h.),H_2 (% r.h.),H_3 (% r.h.),H_4 (% r.h.),Wdir (deg),Wspd (m/s)
0.000,0.053,0.030,-0.129,-0.072,-0.031,-0.048,-0.011,0.072,-0.112,-0.012,0.069,0.034,-0.019,-0.145,0.012,0.145,-0.140,0.003,0.037,-0.023,0.024,0.034,0.002,-0.082,-0.052,-0.029,-0.014,22.513,22.300,22.700,22.600,48.300,47.300,46.444,44.687,184.179,0.491
0.500,0.068,0.030,-0.129,-0.126,-0.031,-0.048,-0.011,0.072,-0.070,-0.012,0.069,0.092,-0.019,-0.145,0.021,0.145,-0.140,0.003,0.024,-0.017,0.052,0.027,0.002,-0.112,-0.052,-0.029,-0.013,22.513,22.300,22.700,22.600,48.300,47.300,46.444,44.687,15.797,0.466
1.000,0.040,0.037,-0.129,-0.126,-0.031,-0.049,-0.011,0.072,-0.070,-0.012,0.069,0.092,-0.019,-0.150,0.022,0.145,-0.140,0.003,0.024,-0.023,0.024,0.027,0.002,-0.116,-0.025,0.017,-0.008,22.513,22.300,22.700,22.600,48.300,47.300,46.443,44.687,15.257,0.428
1.500,0.035,0.095,-0.109,-0.184,-0.031,-0.049,-0.011,0.066,-0.076,-0.012,0.069,0.095,-0.035,-0.145,0.039,0.145,-0.140,0.003,0.024,-0.023,0.008,0.027,0.002,-0.137,-0.025,0.019,-0.008,22.513,22.300,22.700,22.600,48.300,47.300,46.443,44.686,15.000,0.410
2.000,0.035,0.125,-0.109,-0.184,-0.031,-0.049,-0.011,0.065,-0.157,-0.012,0.069,0.170,-0.035,-0.109,0.039,0.145,-0.140,0.003,0.024,-0.023,0.048,0.027,0.002,-0.140,-0.025,0.019,-0.008,22.512,22.300,22.700,22.600,48.300,47.300,46.443,44.685,170.070,0.466
2.500,0.035,0.125,-0.093,-0.126,-0.031,-0.049,-0.011,0.066,-0.157,-0.012,0.104,0.170,-0.035,-0.107,0.039,0.145,-0.140,0.003,0.024,-0.037,0.020,0.027,0.002,-0.140,-0.025,0.017,-0.008,22.512,22.300,22.700,22.600,48.300,47.300,46.443,44.685,277.190,0.513
3.000,0.035,0.125,-0.070,-0.126,-0.031,-0.032,-0.011,0.065,-0.157,-0.012,0.104,0.095,-0.019,-0.066,0.039,0.145,-0.140,0.003,0.024,-0.037,0.017,0.027,0.002,-0.140,-0.025,0.017,-0.013,22.512,22.300,22.700,22.600,48.300,47.300,46.441,44.685,103.178,0.471
3.500,0.035,0.125,-0.052,-0.126,-0.031,-0.032,-0.011,0.058,-0.157,-0.012,0.104,0.095,-0.019,-0.066,0.039,0.145,-0.140,0.003,0.024,-0.037,0.020,0.034,0.002,-0.111,-0.053,-0.026,-0.024,22.512,22.300,22.700,22.600,48.300,47.300,46.440,44.685,16.000,0.450
4.000,0.001,0.069,-0.048,-0.126,-0.031,-0.032,-0.011,0.058,-0.157,-0.012,0.069,0.034,-0.019,-0.066,0.039,0.145,-0.140,0.003,0.024,-0.037,0.020,0.035,0.002,-0.110,-0.054,-0.028,-0.024,22.512,22.300,22.700,22.600,48.300,47.300,46.439,44.685,173.552,0.651
4.500,0.001,0.069,-0.048,-0.126,-0.031,-0.032,-0.011,0.058,-0.157,-0.012,0.069,0.034,-0.019,-0.066,0.030,0.145,-0.140,0.003,0.024,-0.025,0.017,0.035,-0.017,-0.110,-0.054,-0.026,-0.024,22.511,22.300,22.700,22.600,48.300,47.300,46.438,44.685,347.551,0.770
5.000,0.001,0.069,-0.048,-0.126,-0.031,-0.032,-0.011,0.058,-0.117,-0.012,0.069,0.034,-0.019,-0.070,0.031,0.137,-0.140,0.003,0.024,-0.015,0.017,0.035,-0.017,-0.082,-0.053,0.018,-0.019,22.510,22.300,22.700,22.600,48.300,47.300,46.436,44.685,353.107,0.553
5.500,0.022,0.100,-0.054,-0.126,-0.031,-0.032,-0.011,0.058,-0.114,-0.012,0.069,0.034,-0.019,-0.070,0.031,0.128,-0.140,0.003,0.024,-0.015,0.052,0.034,0.002,-0.110,-0.025,0.016,-0.019,22.510,22.300,22.700,22.600,48.300,47.300,46.433,44.685,213.220,0.469
6.000,0.035,0.100,-0.068,-0.126,-0.031,-0.032,-0.011,0.058,-0.113,-0.012,0.097,0.082,-0.019,-0.105,0.030,0.128,-0.140,0.003,0.024,-0.015,0.080,0.034,0.002,-0.112,-0.025,0.016,-0.019,22.508,22.300,22.700,22.600,48.300,47.300,46.431,44.685,6.988,0.480
6.500,0.035,0.100,-0.096,-0.126,-0.031,-0.032,-0.011,0.065,-0.113,-0.012,0.097,0.082,-0.019,-0.105,0.029,0.128,-0.140,0.003,0.024,-0.029,0.080,0.034,0.002,-0.113,-0.025,0.016,-0.015,22.507,22.300,22.700,22.600,48.300,47.300,46.428,44.685,3.738,0.382
7.000,0.035,0.045,-0.096,-0.126,-0.031,-0.032,-0.011,0.065,-0.113,-0.012,0.097,0.082,-0.019,-0.104,0.029,0.128,-0.140,0.003,0.024,-0.032,0.080,0.035,0.002,-0.113,-0.017,-0.022,-0.015,22.507,22.300,22.700,22.600,48.300,47.300,46.426,44.685,2.000,0.330
7.500,0.035,-0.018,-0.109,-0.126,-0.031,-0.016,-0.011,0.065,-0.113,-0.012,0.069,0.034,-0.019,-0.105,0.029,0.128,-0.140,0.003,0.024,-0.032,0.029,0.035,0.002,-0.113,0.001,-0.022,-0.015,22.507,22.300,22.700,22.600,48.300,47.300,46.423,44.684,149.344,0.431
8.000,0.035,-0.018,-0.109,-0.126,-0.031,-0.015,-0.011,0.066,-0.113,-0.012,0.069,0.034,-0.019,-0.111,0.029,0.128,-0.140,0.003,0.015,-0.032,-0.041,0.035,-0.020,-0.113,-0.017,-0.022,-0.014,22.508,22.300,22.700,22.600,48.300,47.300,46.421,44.683,286.144,0.576
8.500,0.035,-0.018,-0.109,-0.126,-0.031,-0.016,-0.011,0.065,-0.074,-0.012,0.069,0.034,-0.019,-0.150,0.031,0.128,-0.140,0.003,0.015,-0.032,-0.041,0.025,-0.020,-0.113,-0.025,0.014,-0.014,22.511,22.300,22.700,22.600,48.300,47.300,46.419,44.680,105.928,0.591
9.000,0.035,-0.018,-0.109,-0.126,-0.031,-0.032,-0.011,0.051,-0.074,-0.012,0.016,0.034,-0.033,-0.150,0.039,0.128,-0.140,0.003,0.015,-0.020,-0.041,0.025,-0.020,-0.108,-0.025,0.014,-0.014,22.513,22.300,22.700,22.600,48.300,47.300,46.416,44.679,128.431,0.593
9.500,0.043,0.024,-0.100,-0.126,-0.031,-0.032,-0.011,0.058,-0.074,-0.008,0.016,0.034,-0.038,-0.150,0.039,0.128,-0.140,0.003,0.024,-0.019,-0.026,0.020,-0.015,-0.108,-0.033,0.014,-0.014,22.514,22.300,22.700,22.600,48.300,47.300,46.413,44.679,345.682,0.622
10.000,0.043,0.100,-0.100,-0.179,-0.031,-0.047,-0.011,0.052,-0.110,-0.005,0.016,0.034,-0.038,-0.150,0.039,0.128,-0.140,0.003,0.024,-0.019,-0.026,0.020,-0.015,-0.033,-0.042,-0.029,-0.013,22.515,22.300,22.700,22.600,48.300,47.300,46.411,44.677,353.486,0.817
10.500,0.043,0.100,-0.100,-0.196,-0.031,-0.047,-0.011,0.052,-0.157,0.006,0.069,0.034,-0.033,-0.150,0.039,0.128,-0.140,0.003,0.024,-0.019,-0.026,0.020,-0.015,-0.033,-0.042,-0.029,-0.014,22.515,22.300,22.700,22.600,48.300,47.300,46.409,44.675,358.000,0.930
11.000,0.035,0.100,-0.126,-0.179,-0.031,-0.047,-0.011,0.056,-0.157,0.007,0.069,0.034,-0.019,-0.113,0.031,0.128,-0.140,0.003,0.013,-0.019,-0.041,0.020,-0.014,-0.033,-0.033,-0.029,-0.014,22.513,22.300,22.700,22.600,48.300,47.300,46.406,44.673,350.854,0.863
11.501,0.035,0.100,-0.126,-0.177,-0.031,-0.032,-0.011,0.058,-0.157,0.006,0.069,0.034,-0.019,-0.101,0.029,0.128,-0.140,0.003,0.013,-0.026,-0.041,0.020,-0.003,-0.032,-0.035,-0.029,-0.017,22.512,22.300,22.700,22.600,48.300,47.300,46.404,44.673,334.451,0.709
12.001,0.035,0.100,-0.126,-0.179,-0.031,-0.032,-0.011,0.058,-0.192,-0.005,0.069,0.034,-0.019,-0.101,0.029,0.128,-0.140,0.003,0.005,-0.026,-0.041,0.021,0.007,-0.032,-0.016,-0.029,-0.017,22.513,22.300,22.700,22.600,48.300,47.300,46.400,44.671,192.352,0.616
12.501,0.035,0.100,-0.109,-0.196,-0.031,-0.032,-0.011,0.058,-0.137,-0.012,0.069,0.034,-0.019,-0.066,0.021,0.128,-0.140,0.003,-0.006,-0.029,0.009,0.030,0.011,-0.041,-0.016,0.011,-0.017,22.513,22.300,22.700,22.600,48.300,47.300,46.397,44.669,7.000,0.610
