# t (s),C_000 (ppm),C_001 (ppm),C_002 (ppm),C_010 (ppm),C_011 (ppm),C_012 (ppm),C_020 (ppm),C_021 (ppm),C_022 (ppm),C_100 (ppm),C_101 (ppm),C_102 (ppm),C_110 (ppm),C_111 (ppm),C_112 (ppm),C_120 (ppm),C_121 (ppm),C_122 (ppm),C_200 (ppm),C_201 (ppm),C_202 (ppm),C_210 (ppm),C_211 (ppm),C_212 (ppm),C_220 (ppm),C_221 (ppm),C_222 (ppm),T_1 (deg),T_2 (deg),T_3 (deg),T_4 (deg),H_1 (% r.h.),H_2 (% r.h.),H_3 (% r.h.),H_4 (% r.h.),Wdir (deg),Wspd (m/s)
0.000,0.052,0.000,0.000,0.065,0.001,0.001,0.000,0.000,0.017,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.009,0.000,0.000,0.052,0.000,0.015,22.400,22.200,22.900,23.300,33.200,30.825,31.457,28.945,0.000,0.000
0.500,0.064,0.061,0.011,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.037,0.351,0.000,0.000,0.000,0.000,0.020,0.000,0.002,0.000,0.105,0.011,0.000,0.000,0.000,0.000,0.012,22.400,22.200,22.900,23.300,33.200,30.832,31.455,28.945,0.000,0.000
1.000,0.036,0.097,0.037,0.000,0.000,0.027,0.049,0.000,0.000,0.000,0.157,0.225,0.000,0.000,0.011,0.000,0.020,0.000,0.000,0.000,0.141,0.000,0.000,0.000,0.042,0.031,0.000,22.400,22.200,22.900,23.300,33.200,30.840,31.454,28.943,0.000,0.000
1.500,0.000,0.022,0.037,0.043,0.000,0.008,0.002,0.000,0.000,0.000,0.260,0.000,0.000,0.065,0.000,0.000,0.020,0.000,0.000,0.000,0.065,0.000,0.000,0.020,0.000,0.047,0.000,22.400,22.200,22.900,23.300,33.200,30.847,31.452,28.942,0.000,0.000
2.000,0.050,0.010,0.000,0.065,0.008,0.001,0.000,0.000,0.105,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.000,22.400,22.200,22.900,23.300,33.200,30.855,31.450,28.942,0.000,0.000
2.500,0.016,0.000,0.000,0.065,0.008,0.001,0.048,0.000,0.046,0.000,0.000,0.000,0.003,0.064,0.000,0.000,0.020,0.009,0.000,0.000,0.000,0.000,0.018,0.000,0.030,0.000,0.001,22.400,22.200,22.900,23.300,33.200,30.862,31.449,28.942,0.000,0.000
3.000,0.006,0.000,0.000,0.000,0.008,0.001,0.003,0.000,0.000,0.000,0.000,0.125,0.009,0.156,0.000,0.000,0.020,0.009,0.000,0.000,0.052,0.000,0.000,0.020,0.000,0.029,0.000,22.400,22.200,22.900,23.300,33.200,30.870,31.449,28.942,0.000,0.000
3.500,0.052,0.216,0.000,0.041,0.008,0.001,0.000,0.000,0.013,0.000,0.067,0.125,0.009,0.097,0.000,0.000,0.020,0.009,0.000,0.000,0.052,0.000,0.010,0.000,0.000,0.000,0.008,22.400,22.200,22.900,23.300,33.200,30.877,31.447,28.942,0.000,0.000
4.000,0.064,0.064,0.020,0.065,0.000,0.001,0.000,0.000,0.000,0.090,0.094,0.125,0.009,0.080,0.000,0.000,0.020,0.009,0.000,0.000,0.052,0.000,0.018,0.000,0.040,0.028,0.012,22.400,22.200,22.900,23.300,33.200,30.884,31.445,28.942,0.000,0.000
4.500,0.000,0.010,0.037,0.000,0.000,0.000,0.000,0.000,0.012,0.003,0.094,0.125,0.009,0.080,0.000,0.000,0.020,0.009,0.000,0.000,0.162,0.000,0.018,0.000,0.000,0.000,0.012,22.400,22.200,22.900,23.300,33.200,30.892,31.444,28.941,0.000,0.000
5.000,0.000,0.010,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.009,0.080,0.000,0.000,0.020,0.009,0.000,0.000,0.012,0.000,0.018,0.018,0.039,0.027,0.021,22.400,22.200,22.900,23.300,33.200,30.899,31.442,28.941,0.000,0.000
5.500,0.000,0.010,0.037,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.125,0.009,0.005,0.000,0.000,0.020,0.009,0.000,0.000,0.000,0.008,0.018,0.000,0.000,0.000,0.014,22.400,22.200,22.900,23.300,33.200,30.907,31.442,28.941,0.000,0.000
6.000,0.000,0.010,0.037,0.000,0.000,0.001,0.000,0.000,0.030,0.000,0.000,0.125,0.009,0.000,0.013,0.000,0.020,0.009,0.000,0.000,0.000,0.000,0.018,0.000,0.000,0.000,0.000,22.400,22.200,22.900,23.300,33.200,30.916,31.442,28.941,0.000,0.000
6.500,0.000,0.010,0.000,0.000,0.000,0.061,0.046,0.000,0.030,0.000,0.000,0.125,0.000,0.000,0.017,0.000,0.020,0.009,0.000,0.000,0.000,0.000,0.018,0.000,0.000,0.026,0.000,22.400,22.200,22.900,23.300,33.200,30.923,31.442,28.941,0.000,0.000
7.000,0.016,0.010,0.000,0.000,0.008,0.017,0.006,0.000,0.000,0.000,0.000,0.254,0.002,0.000,0.004,0.000,0.020,0.009,0.000,0.000,0.023,0.000,0.018,0.000,0.000,0.047,0.000,22.400,22.200,22.900,23.300,33.200,30.930,31.442,28.940,0.000,0.000
7.500,0.055,0.010,0.000,0.000,0.000,0.001,0.000,0.000,0.011,0.000,0.073,0.416,0.009,0.133,0.000,0.000,0.020,0.009,0.000,0.000,0.159,0.000,0.000,0.000,0.000,0.000,0.001,22.400,22.200,22.900,23.300,33.200,30.938,31.442,28.938,0.000,0.000
8.000,0.033,0.010,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.021,0.324,0.009,0.028,0.000,0.000,0.020,0.009,0.002,0.000,0.135,0.000,0.008,0.000,0.000,0.000,0.000,22.400,22.200,22.900,23.300,33.200,30.945,31.442,28.935,0.000,0.000
8.500,0.000,0.010,0.027,0.000,0.000,0.001,0.000,0.000,0.010,0.000,0.000,0.162,0.009,0.000,0.000,0.009,0.020,0.009,0.002,0.000,0.067,0.000,0.018,0.000,0.000,0.001,0.000,22.400,22.200,22.900,23.300,33.200,30.953,31.440,28.930,0.000,0.000
9.000,0.000,0.000,0.000,0.000,0.000,0.031,0.000,0.000,0.030,0.000,0.000,0.000,0.036,0.059,0.000,0.000,0.020,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.037,0.000,0.010,22.400,22.200,22.900,23.300,33.200,30.960,31.441,28.927,0.000,0.000
9.500,0.000,0.000,0.000,0.035,0.008,0.068,0.000,0.000,0.030,0.000,0.051,0.000,0.017,0.008,0.000,0.000,0.020,0.009,0.000,0.000,0.000,0.000,0.008,0.016,0.003,0.000,0.004,22.400,22.200,22.900,23.300,33.200,30.965,31.444,28.923,0.000,0.000
10.000,0.000,0.010,0.000,0.000,0.008,0.048,0.000,0.000,0.099,0.000,0.094,0.320,0.009,0.000,0.000,0.000,0.000,0.009,0.002,0.000,0.000,0.000,0.018,0.000,0.037,0.023,0.009,22.400,22.200,22.900,23.300,33.200,30.972,31.443,28.918,0.000,0.000
10.500,0.000,0.084,0.000,0.000,0.008,0.039,0.000,0.000,0.000,0.000,0.094,0.540,0.009,0.058,0.009,0.000,0.000,0.009,0.018,0.000,0.000,0.000,0.018,0.016,0.052,0.047,0.004,22.400,22.200,22.900,23.300,33.200,30.979,31.444,28.913,0.000,0.000
11.000,0.000,0.236,0.097,0.000,0.008,0.011,0.000,0.000,0.008,0.000,0.094,0.726,0.036,0.080,0.004,0.000,0.005,0.009,0.052,0.000,0.150,0.000,0.018,0.000,0.003,0.047,0.000,22.400,22.200,22.900,23.300,33.200,30.987,31.445,28.908,0.000,0.000
11.500,0.103,0.076,0.058,0.000,0.008,0.001,0.000,0.000,0.000,0.000,0.094,0.287,0.018,0.080,0.000,0.000,0.020,0.009,0.060,0.000,0.086,0.000,0.018,0.000,0.000,0.000,0.000,22.400,22.200,22.900,23.300,33.200,30.994,31.447,28.904,0.000,0.000
12.000,0.024,0.010,0.099,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.231,0.370,0.009,0.080,0.000,0.000,0.020,0.009,0.103,0.000,0.255,0.000,0.000,0.000,0.000,0.000,0.000,22.400,22.200,22.900,23.300,33.200,31.002,31.447,28.901,0.000,0.000
12.500,0.000,0.010,0.068,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.046,0.041,0.009,0.080,0.000,0.000,0.020,0.009,0.045,0.000,0.154,0.000,0.000,0.000,0.000,0.000,0.000,22.400,22.200,22.900,23.300,33.200,31.010,31.449,28.897,0.000,0.000
13.000,0.000,0.010,0.011,0.000,0.008,0.001,0.000,0.000,0.007,0.000,0.000,0.000,0.009,0.080,0.012,0.000,0.020,0.009,0.020,0.000,0.052,0.000,0.007,0.000,0.000,0.021,0.007,22.400,22.200,22.900,23.300,33.200,31.017,31.450,28.892,0.000,0.000
13.500,0.000,0.010,0.000,0.000,0.008,0.029,0.000,0.000,0.030,0.000,0.067,0.078,0.009,0.149,0.017,0.000,0.020,0.009,0.052,0.000,0.052,0.007,0.000,0.000,0.000,0.000,0.012,22.400,22.200,22.900,23.300,33.200,31.025,31.452,28.887,0.000,0.000
14.000,0.000,0.000,0.000,0.030,0.008,0.039,0.042,0.000,0.096,0.000,0.094,0.000,0.009,0.000,0.029,0.000,0.020,0.009,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,22.400,22.200,22.900,23.300,33.200,31.033,31.454,28.882,0.000,0.000
14.500,0.000,0.000,0.075,0.000,0.000,0.012,0.010,0.000,0.054,0.000,0.228,0.426,0.009,0.030,0.021,0.000,0.020,0.009,0.144,0.000,0.115,0.000,0.000,0.000,0.000,0.019,0.001,22.400,22.200,22.900,23.300,33.200,31.040,31.457,28.877,0.000,0.000
