# t (s),C_000 (ppm),C_001 (ppm),C_002 (ppm),C_010 (ppm),C_011 (ppm),C_012 (ppm),C_020 (ppm),C_021 (ppm),C_022 (ppm),C_100 (ppm),C_101 (ppm),C_102 (ppm),C_110 (ppm),C_111 (ppm),C_112 (ppm),C_120 (ppm),C_121 (ppm),C_122 (ppm),C_200 (ppm),C_201 (ppm),C_202 (ppm),C_210 (ppm),C_211 (ppm),C_212 (ppm),C_220 (ppm),C_221 (ppm),C_222 (ppm),T_1 (deg),T_2 (deg),T_3 (deg),T_4 (deg),H_1 (% r.h.),H_2 (% r.h.),H_3 (% r.h.),H_4 (% r.h.),Wdir (deg),Wspd (m/s)
0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.065,0.004,0.000,0.020,0.046,0.000,0.000,0.000,0.022,0.000,0.004,0.010,0.066,0.079,0.000,0.023,21.897,21.759,22.200,22.740,33.697,32.358,32.300,29.582,163.000,0.006
0.500,0.032,0.048,0.000,0.000,0.000,0.025,0.000,0.005,0.003,0.000,0.051,0.271,0.019,0.000,0.020,0.046,0.000,0.026,0.000,0.022,0.029,0.024,0.062,0.172,0.087,0.003,0.019,21.897,21.761,22.200,22.741,33.697,32.357,32.300,29.582,163.000,0.000
1.000,0.169,0.120,0.000,0.000,0.000,0.000,0.000,0.010,0.003,0.027,0.000,0.225,0.030,0.012,0.012,0.046,0.014,0.026,0.000,0.026,0.083,0.051,0.075,0.005,0.000,0.069,0.016,21.895,21.761,22.200,22.742,33.695,32.357,32.300,29.581,163.000,0.000
1.500,0.085,0.048,0.000,0.000,0.000,0.014,0.000,0.018,0.003,0.027,0.000,0.049,0.004,0.000,0.000,0.046,0.000,0.059,0.000,0.042,0.000,0.046,0.023,0.054,0.000,0.069,0.027,21.895,21.759,22.200,22.741,33.695,32.355,32.300,29.581,163.000,0.000
2.000,0.031,0.000,0.000,0.021,0.000,0.026,0.000,0.018,0.003,0.011,0.000,0.000,0.019,0.000,0.000,0.038,0.039,0.083,0.000,0.041,0.000,0.057,0.009,0.115,0.000,0.069,0.026,21.894,21.757,22.200,22.740,33.694,32.354,32.300,29.581,163.000,0.000
2.500,0.031,0.000,0.020,0.000,0.000,0.014,0.000,0.018,0.003,0.000,0.113,0.049,0.030,0.013,0.000,0.024,0.039,0.026,0.000,0.012,0.028,0.057,0.004,0.048,0.024,0.030,0.016,21.893,21.757,22.200,22.740,33.693,32.357,32.300,29.581,163.000,0.003
3.000,0.031,0.002,0.007,0.021,0.000,0.026,0.000,0.009,0.003,0.020,0.210,0.223,0.004,0.000,0.000,0.024,0.015,0.026,0.000,0.000,0.102,0.051,0.000,0.000,0.000,0.077,0.023,21.893,21.757,22.200,22.740,33.693,32.358,32.300,29.581,163.000,0.010
3.500,0.031,0.002,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.114,0.049,0.004,0.000,0.014,0.040,0.000,0.155,0.000,0.012,0.028,0.040,0.042,0.000,0.000,0.090,0.015,21.893,21.755,22.200,22.740,33.693,32.357,32.300,29.581,163.000,0.010
4.000,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.014,0.000,0.000,0.000,0.000,0.004,0.000,0.026,0.053,0.015,0.253,0.000,0.022,0.000,0.040,0.042,0.048,0.024,0.000,0.009,21.893,21.756,22.200,22.738,33.693,32.357,32.300,29.581,163.000,0.010
4.500,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.024,0.000,0.000,0.000,0.012,0.000,0.040,0.042,0.005,0.000,0.031,0.019,21.894,21.759,22.200,22.736,33.694,32.359,32.300,29.581,163.000,0.010
5.000,0.031,0.002,0.007,0.000,0.000,0.000,0.000,0.010,0.037,0.000,0.211,0.000,0.004,0.000,0.000,0.016,0.000,0.000,0.000,0.000,0.000,0.034,0.042,0.005,0.000,0.000,0.016,21.895,21.761,22.200,22.734,33.695,32.359,32.300,29.581,163.000,0.010
5.500,0.031,0.002,0.000,0.000,0.000,0.000,0.000,0.018,0.098,0.000,0.115,0.000,0.004,0.000,0.000,0.010,0.000,0.000,0.000,0.012,0.000,0.028,0.042,0.005,0.000,0.032,0.019,21.895,21.762,22.200,22.732,33.695,32.359,32.300,29.581,163.000,0.010
6.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.018,0.066,0.000,0.051,0.000,0.000,0.000,0.000,0.017,0.000,0.026,0.000,0.001,0.000,0.034,0.042,0.028,0.000,0.000,0.012,21.895,21.762,22.200,22.731,33.695,32.361,32.300,29.581,163.000,0.010
6.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.018,0.003,0.000,0.167,0.000,0.000,0.000,0.000,0.009,0.000,0.026,0.000,0.000,0.000,0.022,0.042,0.050,0.000,0.000,0.012,21.895,21.763,22.200,22.731,33.695,32.360,32.300,29.581,163.000,0.010
7.001,0.021,0.002,0.000,0.026,0.000,0.000,0.000,0.018,0.003,0.021,0.373,0.000,0.004,0.000,0.000,0.024,0.000,0.085,0.000,0.000,0.104,0.028,0.042,0.005,0.000,0.034,0.012,21.895,21.764,22.200,22.730,33.695,32.360,32.300,29.581,163.000,0.010
7.501,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.014,0.000,0.000,0.183,0.000,0.004,0.018,0.000,0.024,0.018,0.147,0.000,0.011,0.031,0.056,0.009,0.005,0.024,0.000,0.016,21.895,21.765,22.200,22.728,33.695,32.359,32.300,29.581,163.000,0.010
8.001,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.051,0.000,0.017,0.000,0.000,0.024,0.000,0.026,0.000,0.012,0.000,0.069,0.000,0.005,0.024,0.035,0.020,21.895,21.765,22.201,22.730,33.695,32.361,32.301,29.581,163.000,0.010
8.501,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.051,0.000,0.032,0.000,0.000,0.024,0.000,0.026,0.000,0.000,0.025,0.028,0.062,0.026,0.047,0.000,0.016,21.895,21.766,22.202,22.732,33.695,32.360,32.302,29.581,163.000,0.010
9.001,0.031,0.000,0.020,0.000,0.000,0.000,0.000,0.000,0.033,0.000,0.000,0.000,0.004,0.000,0.000,0.024,0.018,0.026,0.000,0.000,0.081,0.029,0.006,0.072,0.074,0.028,0.023,21.895,21.768,22.202,22.734,33.695,32.361,32.302,29.581,163.000,0.010
9.501,0.031,0.044,0.048,0.000,0.000,0.000,0.000,0.009,0.069,0.000,0.000,0.039,0.004,0.000,0.000,0.017,0.000,0.026,0.000,0.000,0.024,0.015,0.027,0.052,0.024,0.140,0.020,21.895,21.770,22.202,22.734,33.695,32.363,32.302,29.582,163.000,0.010
10.001,0.008,0.101,0.111,0.074,0.000,0.000,0.000,0.018,0.003,0.015,0.051,0.178,0.004,0.000,0.000,0.009,0.000,0.026,0.000,0.013,0.082,0.040,0.006,0.025,0.000,0.037,0.009,21.895,21.771,22.202,22.733,33.695,32.365,32.302,29.583,163.000,0.007
10.501,0.000,0.002,0.089,0.074,0.000,0.000,0.000,0.018,0.003,0.000,0.051,0.000,0.004,0.000,0.000,0.018,0.000,0.026,0.000,0.000,0.000,0.040,0.058,0.052,0.000,0.000,0.004,21.895,21.772,22.202,22.734,33.695,32.365,32.302,29.584,163.000,0.001
11.001,0.000,0.002,0.000,0.074,0.000,0.000,0.000,0.018,0.003,0.000,0.051,0.000,0.004,0.000,0.000,0.009,0.019,0.026,0.000,0.011,0.000,0.040,0.094,0.025,0.000,0.000,0.009,21.895,21.773,22.202,22.736,33.695,32.367,32.302,29.584,163.000,0.006
11.501,0.000,0.000,0.000,0.031,0.000,0.000,0.000,0.014,0.000,0.000,0.051,0.228,0.004,0.000,0.000,0.024,0.000,0.026,0.000,0.022,0.000,0.035,0.079,0.072,0.000,0.000,0.001,21.895,21.775,22.202,22.739,33.695,32.366,32.302,29.582,163.000,0.010
12.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.051,0.659,0.004,0.000,0.005,0.024,0.000,0.026,0.000,0.014,0.000,0.032,0.057,0.053,0.000,0.000,0.011,21.895,21.774,22.202,22.741,33.695,32.364,32.302,29.582,163.000,0.010
12.501,0.031,0.019,0.031,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.051,0.000,0.004,0.000,0.008,0.024,0.000,0.026,0.000,0.000,0.000,0.052,0.065,0.024,0.000,0.000,0.025,21.895,21.773,22.203,22.743,33.695,32.364,32.303,29.582,163.000,0.010
13.001,0.031,0.089,0.078,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.051,0.000,0.004,0.000,0.000,0.024,0.000,0.026,0.000,0.011,0.000,0.035,0.005,0.053,0.000,0.000,0.001,21.895,21.775,22.203,22.743,33.695,32.364,32.303,29.582,163.000,0.010
13.501,0.054,0.101,0.086,0.000,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.004,0.000,0.017,0.024,0.021,0.026,0.000,0.022,0.000,0.027,0.028,0.000,0.000,0.000,0.001,21.895,21.775,22.203,22.743,33.695,32.364,32.303,29.582,163.000,0.010
14.001,0.090,0.002,0.000,0.000,0.000,0.010,0.000,0.015,0.000,0.007,0.000,0.026,0.004,0.000,0.045,0.024,0.000,0.026,0.000,0.022,0.000,0.035,0.019,0.000,0.000,0.049,0.001,21.895,21.775,22.203,22.743,33.695,32.364,32.303,29.582,163.000,0.010
14.501,0.031,0.002,0.000,0.000,0.000,0.030,0.000,0.005,0.000,0.058,0.051,0.188,0.004,0.000,0.000,0.018,0.000,0.026,0.000,0.022,0.000,0.022,0.067,0.000,0.024,0.192,0.001,21.895,21.776,22.203,22.743,33.695,32.364,32.303,29.582,163.000,0.010
15.001,0.031,0.002,0.020,0.000,0.000,0.000,0.000,0.005,0.000,0.016,0.051,0.024,0.004,0.000,0.010,0.008,0.000,0.026,0.000,0.022,0.018,0.022,0.000,0.040,0.024,0.000,0.004,21.895,21.778,22.203,22.743,33.695,32.364,32.303,29.582,163.000,0.010
15.501,0.011,0.002,0.020,0.000,0.000,0.000,0.000,0.009,0.003,0.000,0.005,0.000,0.004,0.000,0.030,0.019,0.022,0.026,0.000,0.022,0.088,0.022,0.000,0.105,0.006,0.000,0.009,21.895,21.780,22.203,22.743,33.695,32.364,32.303,29.582,123.152,0.008
16.001,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.009,0.000,0.027,0.000,0.000,0.004,0.000,0.000,0.002,0.000,0.004,0.000,0.029,0.000,0.027,0.016,0.005,0.000,0.000,0.004,21.895,21.779,22.203,22.745,33.695,32.364,32.303,29.584,0.000,0.000
16.501,0.093,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.027,0.051,0.000,0.004,0.000,0.004,0.007,0.000,0.000,0.000,0.038,0.000,0.040,0.000,0.000,0.000,0.000,0.012,21.895,21.777,22.203,22.745,33.695,32.364,32.303,29.586,38.795,0.002
17.001,0.048,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.018,0.013,0.000,0.004,0.000,0.011,0.019,0.000,0.026,0.012,0.000,0.000,0.040,0.042,0.000,0.000,0.000,0.010,21.895,21.777,22.203,22.747,33.695,32.364,32.303,29.588,163.000,0.010
17.501,0.108,0.002,0.106,0.000,0.000,0.000,0.000,0.005,0.003,0.000,0.000,0.567,0.004,0.029,0.000,0.002,0.000,0.006,0.062,0.022,0.114,0.040,0.019,0.000,0.024,0.045,0.004,21.895,21.778,22.203,22.747,33.695,32.362,32.303,29.588,163.000,0.010
18.001,0.065,0.002,0.058,0.000,0.000,0.000,0.000,0.005,0.003,0.000,0.000,0.216,0.004,0.000,0.000,0.002,0.000,0.000,0.026,0.022,0.040,0.036,0.000,0.005,0.009,0.000,0.012,21.895,21.778,22.203,22.745,33.695,32.363,32.303,29.590,163.000,0.010
18.501,0.031,0.002,0.020,0.000,0.000,0.008,0.000,0.005,0.003,0.000,0.051,0.000,0.004,0.000,0.004,0.007,0.000,0.026,0.000,0.022,0.000,0.022,0.042,0.019,0.000,0.046,0.012,21.895,21.778,22.203,22.743,33.695,32.362,32.303,29.592,163.000,0.010
19.001,0.017,0.000,0.020,0.043,0.000,0.032,0.000,0.008,0.000,0.000,0.084,0.000,0.004,0.000,0.020,0.020,0.000,0.026,0.000,0.022,0.000,0.022,0.042,0.058,0.000,0.000,0.012,21.895,21.780,22.203,22.741,33.693,32.363,32.303,29.594,163.000,0.010
19.501,0.000,0.000,0.020,0.000,0.000,0.000,0.010,0.016,0.000,0.000,0.237,0.000,0.004,0.000,0.016,0.006,0.000,0.026,0.000,0.024,0.000,0.022,0.042,0.018,0.000,0.069,0.012,21.895,21.781,22.203,22.738,33.693,32.363,32.303,29.591,163.000,0.010
20.001,0.041,0.000,0.020,0.000,0.000,0.000,0.064,0.005,0.000,0.032,0.237,0.000,0.012,0.031,0.003,0.020,0.000,0.026,0.000,0.137,0.000,0.022,0.032,0.045,0.000,0.048,0.010,21.895,21.782,22.205,22.737,33.693,32.363,32.305,29.589,163.000,0.010
20.501,0.096,0.029,0.020,0.000,0.000,0.000,0.037,0.005,0.000,0.052,0.237,0.067,0.037,0.000,0.016,0.002,0.026,0.026,0.000,0.180,0.149,0.022,0.000,0.000,0.010,0.000,0.000,21.896,21.783,22.205,22.736,33.694,32.365,32.305,29.587,163.000,0.010
21.002,0.016,0.115,0.004,0.046,0.000,0.000,0.000,0.005,0.000,0.000,0.171,0.483,0.004,0.053,0.000,0.010,0.000,0.026,0.000,0.000,0.210,0.022,0.000,0.047,0.000,0.000,0.000,21.898,21.783,22.205,22.734,33.695,32.364,32.305,29.587,163.000,0.010
21.502,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.005,0.003,0.020,0.000,0.000,0.004,0.033,0.000,0.038,0.000,0.026,0.000,0.022,0.000,0.022,0.000,0.000,0.000,0.000,0.012,21.898,21.786,22.205,22.733,33.695,32.366,32.305,29.587,163.000,0.010
22.002,0.031,0.002,0.004,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.051,0.054,0.004,0.000,0.000,0.002,0.027,0.026,0.000,0.022,0.006,0.022,0.042,0.005,0.024,0.000,0.012,21.898,21.787,22.205,22.733,33.696,32.368,32.305,29.586,163.000,0.010
22.502,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.016,0.027,0.472,0.004,0.034,0.000,0.002,0.000,0.026,0.000,0.022,0.067,0.022,0.033,0.028,0.024,0.050,0.010,21.900,21.785,22.205,22.734,33.698,32.368,32.305,29.584,141.703,0.009
23.002,0.000,0.000,0.000,0.098,0.000,0.000,0.000,0.018,0.019,0.000,0.000,0.000,0.004,0.000,0.003,0.002,0.000,0.026,0.000,0.022,0.000,0.025,0.000,0.117,0.024,0.000,0.000,21.900,21.786,22.205,22.736,33.697,32.368,32.307,29.584,18.768,0.001
