# t (s),C_000 (ppm),C_001 (ppm),C_002 (ppm),C_010 (ppm),C_011 (ppm),C_012 (ppm),C_020 (ppm),C_021 (ppm),C_022 (ppm),C_100 (ppm),C_101 (ppm),C_102 (ppm),C_110 (ppm),C_111 (ppm),C_112 (ppm),C_120 (ppm),C_121 (ppm),C_122 (ppm),C_200 (ppm),C_201 (ppm),C_202 (ppm),C_210 (ppm),C_211 (ppm),C_212 (ppm),C_220 (ppm),C_221 (ppm),C_222 (ppm),T_1 (deg),T_2 (deg),T_3 (deg),T_4 (deg),H_1 (% r.h.),H_2 (% r.h.),H_3 (% r.h.),H_4 (% r.h.),Wdir (deg),Wspd (m/s)
0.000,-0.013,-0.150,0.005,0.000,-0.028,-0.011,0.000,0.001,0.010,0.014,0.097,-0.049,-0.006,0.030,-0.004,0.005,0.137,-0.004,-0.009,-0.069,0.129,0.013,0.006,-0.002,-0.006,-0.013,0.001,22.000,21.802,22.500,23.000,33.310,29.302,31.064,29.700,235.000,0.010
0.500,0.010,-0.150,0.005,0.000,-0.028,-0.028,0.000,0.001,0.010,0.014,0.147,-0.049,-0.006,0.030,-0.004,0.005,0.137,-0.002,-0.009,-0.069,0.129,0.006,0.006,-0.010,-0.007,-0.011,-0.005,22.000,21.802,22.500,23.000,33.308,29.302,31.061,29.700,235.000,0.010
1.000,0.010,-0.108,0.005,-0.064,-0.028,-0.028,0.000,0.001,0.010,0.014,0.147,-0.049,-0.006,0.030,-0.004,0.002,0.137,-0.004,-0.009,-0.059,0.129,0.006,0.006,-0.003,-0.007,-0.011,-0.006,22.000,21.802,22.500,23.000,33.306,29.302,31.059,29.700,235.000,0.010
1.500,-0.004,-0.013,0.020,-0.064,-0.028,-0.028,0.000,0.001,-0.028,0.014,0.049,0.113,-0.006,0.030,-0.004,0.002,0.137,-0.043,-0.009,-0.042,0.173,0.006,0.006,-0.003,0.023,0.001,-0.006,22.000,21.801,22.500,23.000,33.305,29.301,31.056,29.700,235.000,0.010
2.000,0.012,0.038,0.042,-0.064,-0.028,-0.028,0.000,0.001,0.013,0.014,0.049,0.196,-0.006,0.030,-0.004,0.005,0.137,-0.043,-0.009,-0.042,0.173,0.006,0.028,-0.003,-0.009,0.002,-0.006,22.000,21.800,22.500,23.000,33.305,29.300,31.054,29.700,235.000,0.015
2.500,0.012,0.038,0.042,0.000,-0.028,-0.010,0.000,0.001,0.023,0.037,0.049,0.196,-0.006,0.030,-0.004,0.013,0.109,-0.043,-0.030,-0.042,0.173,0.004,0.006,-0.009,-0.009,0.001,-0.006,22.000,21.800,22.500,23.000,33.303,29.300,31.051,29.700,235.000,0.018
3.000,0.012,0.024,0.068,0.000,-0.028,-0.010,0.000,0.001,0.013,0.037,0.049,0.196,-0.006,0.030,-0.014,0.002,0.102,-0.043,-0.030,-0.042,0.093,0.004,0.006,-0.009,-0.009,0.001,-0.005,22.000,21.800,22.500,23.000,33.302,29.300,31.049,29.700,235.000,0.013
3.500,0.012,-0.013,0.068,0.000,-0.028,-0.010,0.000,0.001,0.022,0.014,0.049,0.113,-0.006,0.030,-0.014,0.004,0.102,-0.043,-0.030,-0.042,0.057,0.004,0.001,-0.010,-0.016,0.065,0.007,22.000,21.800,22.500,23.000,33.302,29.300,31.046,29.700,235.000,0.010
4.000,0.012,-0.039,0.068,0.000,-0.028,-0.010,0.000,0.001,0.022,0.014,0.001,-0.037,-0.006,-0.017,-0.014,0.004,0.074,-0.043,0.008,-0.042,0.021,0.000,0.001,-0.009,-0.016,0.031,0.012,22.000,21.800,22.500,23.000,33.301,29.300,31.043,29.700,235.000,0.010
4.500,-0.035,-0.039,0.096,0.000,-0.028,-0.028,0.000,0.001,0.013,0.006,0.001,-0.037,-0.006,-0.018,-0.014,0.002,0.074,-0.043,0.008,-0.042,0.021,0.010,0.001,-0.009,-0.009,-0.011,0.012,22.000,21.800,22.500,23.000,33.300,29.300,31.041,29.700,235.000,0.010
