# t (s),C_000 (ppm),C_001 (ppm),C_002 (ppm),C_010 (ppm),C_011 (ppm),C_012 (ppm),C_020 (ppm),C_021 (ppm),C_022 (ppm),C_100 (ppm),C_101 (ppm),C_102 (ppm),C_110 (ppm),C_111 (ppm),C_112 (ppm),C_120 (ppm),C_121 (ppm),C_122 (ppm),C_200 (ppm),C_201 (ppm),C_202 (ppm),C_210 (ppm),C_211 (ppm),C_212 (ppm),C_220 (ppm),C_221 (ppm),C_222 (ppm),T_1 (deg),T_2 (deg),T_3 (deg),T_4 (deg),H_1 (% r.h.),H_2 (% r.h.),H_3 (% r.h.),H_4 (% r.h.),Wdir (deg),Wspd (m/s)
0.000,0.000,0.000,0.000,0.034,0.000,0.007,0.021,0.000,0.148,0.013,0.194,0.080,0.000,0.000,0.000,0.028,0.000,0.000,0.000,0.000,0.121,0.000,0.060,0.000,0.000,0.000,0.005,22.010,21.833,22.400,22.800,28.297,23.952,26.711,25.096,197.000,0.020
0.500,0.000,0.000,0.000,0.114,0.000,0.007,0.022,0.000,0.000,0.013,0.087,0.000,0.000,0.000,0.000,0.038,0.000,0.000,0.000,0.000,0.000,0.000,0.032,0.000,0.000,0.000,0.000,22.010,21.832,22.400,22.800,28.297,23.952,26.713,25.096,197.000,0.020
1.000,0.000,0.000,0.000,0.038,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.051,0.004,22.010,21.831,22.400,22.800,28.297,23.953,26.716,25.096,197.000,0.020
1.500,0.000,0.000,0.005,0.031,0.000,0.000,0.020,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.038,0.002,0.004,0.000,0.000,0.016,0.000,0.029,0.000,0.032,0.000,0.010,22.010,21.830,22.400,22.800,28.297,23.954,26.718,25.096,197.000,0.020
2.000,0.000,0.000,0.000,0.114,0.000,0.007,0.062,0.000,0.000,0.013,0.055,0.100,0.000,0.000,0.000,0.038,0.002,0.004,0.000,0.000,0.000,0.000,0.061,0.000,0.032,0.000,0.010,22.010,21.830,22.400,22.800,28.297,23.956,26.721,25.096,197.000,0.020
2.500,0.000,0.000,0.000,0.261,0.000,0.007,0.024,0.000,0.000,0.013,0.165,0.000,0.000,0.000,0.000,0.038,0.069,0.049,0.000,0.000,0.000,0.000,0.032,0.000,0.000,0.000,0.005,22.010,21.831,22.400,22.800,28.297,23.957,26.723,25.096,197.000,0.020
3.000,0.000,0.000,0.000,0.422,0.000,0.029,0.019,0.000,0.042,0.000,0.134,0.000,0.000,0.051,0.000,0.038,0.078,0.054,0.000,0.000,0.000,0.000,0.032,0.000,0.000,0.000,0.004,22.010,21.833,22.400,22.800,28.297,23.959,26.725,25.096,197.000,0.020
3.500,0.035,0.000,0.005,0.281,0.000,0.032,0.025,0.000,0.049,0.000,0.100,0.312,0.000,0.059,0.000,0.038,0.002,0.004,0.000,0.000,0.016,0.000,0.058,0.000,0.032,0.000,0.010,22.010,21.832,22.400,22.800,28.297,23.960,26.728,25.096,197.000,0.024
4.000,0.044,0.003,0.005,0.114,0.000,0.007,0.000,0.000,0.000,0.004,0.204,0.498,0.000,0.000,0.008,0.038,0.002,0.004,0.000,0.000,0.016,0.000,0.062,0.000,0.000,0.000,0.010,22.010,21.833,22.400,22.800,28.297,23.961,26.730,25.096,197.000,0.030
4.500,0.092,0.087,0.005,0.042,0.000,0.007,0.000,0.000,0.000,0.000,0.093,0.299,0.000,0.000,0.001,0.038,0.002,0.004,0.000,0.000,0.016,0.000,0.032,0.000,0.000,0.051,0.010,22.010,21.834,22.400,22.800,28.297,23.961,26.733,25.096,197.000,0.030
5.000,0.082,0.070,0.093,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.116,0.341,0.000,0.101,0.000,0.038,0.002,0.004,0.000,0.000,0.083,0.006,0.007,0.000,0.000,0.051,0.010,22.010,21.836,22.400,22.800,28.297,23.964,26.736,25.096,197.000,0.030
5.500,0.035,0.052,0.073,0.000,0.000,0.027,0.000,0.000,0.000,0.000,0.139,0.229,0.000,0.127,0.000,0.029,0.000,0.004,0.000,0.001,0.101,0.000,0.001,0.000,0.000,0.003,0.005,22.010,21.837,22.400,22.800,28.297,23.965,26.738,25.096,197.000,0.030
6.000,0.035,0.076,0.000,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.031,0.000,0.000,0.047,0.000,0.026,0.000,0.004,0.000,0.000,0.016,0.000,0.008,0.003,0.000,0.000,0.004,22.010,21.838,22.400,22.800,28.297,23.966,26.741,25.096,119.155,0.018
6.500,0.020,0.000,0.005,0.022,0.000,0.007,0.015,0.000,0.000,0.000,0.031,0.187,0.000,0.000,0.000,0.038,0.002,0.004,0.000,0.000,0.016,0.000,0.000,0.065,0.000,0.000,0.010,22.010,21.838,22.400,22.800,28.295,23.967,26.743,25.096,34.416,0.003
7.000,0.000,0.000,0.005,0.047,0.000,0.007,0.028,0.000,0.000,0.000,0.031,0.187,0.000,0.000,0.008,0.038,0.002,0.004,0.000,0.000,0.016,0.000,0.000,0.000,0.065,0.097,0.010,22.010,21.836,22.400,22.800,28.295,23.967,26.746,25.096,137.241,0.014
7.500,0.000,0.000,0.005,0.022,0.000,0.007,0.000,0.000,0.000,0.000,0.031,0.187,0.000,0.000,0.011,0.038,0.002,0.004,0.000,0.000,0.016,0.000,0.023,0.000,0.077,0.114,0.005,22.010,21.835,22.400,22.800,28.295,23.969,26.747,25.096,197.000,0.020
8.000,0.035,0.000,0.005,0.000,0.000,0.007,0.000,0.000,0.000,0.013,0.046,0.159,0.000,0.045,0.000,0.038,0.002,0.004,0.000,0.000,0.016,0.000,0.041,0.000,0.032,0.005,0.000,22.010,21.835,22.400,22.800,28.294,23.970,26.748,25.096,197.000,0.020
8.501,0.035,0.000,0.005,0.000,0.000,0.007,0.000,0.000,0.000,0.013,0.158,0.000,0.000,0.064,0.000,0.038,0.002,0.004,0.000,0.000,0.016,0.000,0.000,0.000,0.000,0.000,0.000,22.010,21.834,22.400,22.800,28.293,23.969,26.751,25.096,197.000,0.020
9.001,0.035,0.000,0.005,0.021,0.000,0.007,0.000,0.000,0.054,0.013,0.144,0.000,0.000,0.000,0.000,0.038,0.002,0.122,0.000,0.002,0.016,0.000,0.009,0.000,0.019,0.000,0.004,22.010,21.831,22.400,22.800,28.293,23.967,26.753,25.096,197.000,0.020
9.501,0.035,0.000,0.005,0.114,0.000,0.007,0.015,0.000,0.000,0.013,0.031,0.000,0.017,0.045,0.000,0.038,0.002,0.169,0.000,0.000,0.016,0.000,0.023,0.000,0.045,0.051,0.010,22.010,21.831,22.400,22.800,28.293,23.968,26.754,25.096,197.000,0.020
10.001,0.035,0.000,0.040,0.114,0.000,0.000,0.062,0.000,0.163,0.000,0.031,0.187,0.000,0.065,0.000,0.038,0.002,0.004,0.000,0.000,0.016,0.000,0.019,0.000,0.000,0.051,0.010,22.010,21.831,22.400,22.800,28.293,23.970,26.755,25.096,128.604,0.013
10.501,0.024,0.000,0.068,0.114,0.000,0.000,0.062,0.000,0.192,0.000,0.031,0.144,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.042,0.000,0.006,0.005,22.010,21.829,22.400,22.800,28.293,23.970,26.755,25.096,24.214,0.002
11.001,0.000,0.000,0.000,0.114,0.000,0.007,0.029,0.000,0.000,0.000,0.031,0.000,0.000,0.044,0.000,0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.055,0.067,0.000,0.000,0.003,22.010,21.829,22.400,22.800,28.293,23.970,26.757,25.096,132.701,0.013
11.501,0.005,0.000,0.000,0.049,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.000,0.000,0.066,0.000,0.038,0.000,0.004,0.000,0.000,0.000,0.000,0.043,0.041,0.000,0.000,0.006,22.010,21.830,22.400,22.800,28.292,23.970,26.759,25.096,197.000,0.023
12.001,0.112,0.000,0.005,0.018,0.000,0.000,0.000,0.000,0.000,0.010,0.031,0.158,0.000,0.000,0.015,0.038,0.000,0.004,0.000,0.000,0.016,0.000,0.000,0.069,0.000,0.008,0.000,22.010,21.830,22.400,22.800,28.290,23.970,26.760,25.096,197.000,0.031
12.501,0.065,0.000,0.005,0.114,0.000,0.007,0.000,0.000,0.000,0.000,0.031,0.000,0.000,0.000,0.032,0.038,0.000,0.004,0.000,0.000,0.016,0.000,0.000,0.000,0.032,0.000,0.003,22.009,21.830,22.400,22.800,28.290,23.970,26.759,25.096,197.000,0.036
13.001,0.035,0.043,0.117,0.114,0.000,0.025,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.040,0.012,0.038,0.000,0.004,0.000,0.000,0.073,0.000,0.032,0.000,0.032,0.000,0.010,22.008,21.831,22.400,22.800,28.289,23.971,26.759,25.096,197.000,0.040
13.501,0.011,0.052,0.191,0.114,0.000,0.036,0.032,0.000,0.033,0.000,0.000,0.000,0.017,0.026,0.000,0.038,0.000,0.004,0.000,0.006,0.125,0.000,0.012,0.000,0.032,0.000,0.014,22.008,21.832,22.400,22.800,28.288,23.973,26.760,25.096,197.000,0.037
14.001,0.000,0.000,0.000,0.055,0.000,0.007,0.000,0.000,0.059,0.000,0.031,0.000,0.001,0.000,0.000,0.031,0.000,0.004,0.048,0.000,0.021,0.000,0.000,0.000,0.032,0.011,0.017,22.007,21.833,22.400,22.800,28.288,23.976,26.762,25.096,197.000,0.030
14.501,0.003,0.000,0.000,0.187,0.000,0.007,0.000,0.000,0.000,0.000,0.031,0.000,0.000,0.000,0.000,0.025,0.000,0.004,0.005,0.000,0.110,0.000,0.000,0.009,0.032,0.000,0.010,22.007,21.836,22.400,22.800,28.287,23.979,26.764,25.096,197.000,0.024
15.001,0.035,0.000,0.000,0.298,0.000,0.007,0.010,0.000,0.000,0.000,0.031,0.000,0.000,0.000,0.000,0.031,0.002,0.004,0.004,0.000,0.059,0.000,0.012,0.054,0.032,0.051,0.014,22.007,21.836,22.400,22.800,28.286,23.982,26.764,25.096,197.000,0.020
15.501,0.035,0.000,0.000,0.000,0.000,0.007,0.033,0.000,0.000,0.000,0.031,0.000,0.000,0.000,0.000,0.025,0.000,0.004,0.025,0.000,0.000,0.000,0.000,0.054,0.060,0.051,0.017,22.007,21.835,22.400,22.800,28.287,23.983,26.764,25.096,197.000,0.024
