# t (s),C_000 (ppm),C_001 (ppm),C_002 (ppm),C_010 (ppm),C_011 (ppm),C_012 (ppm),C_020 (ppm),C_021 (ppm),C_022 (ppm),C_100 (ppm),C_101 (ppm),C_102 (ppm),C_110 (ppm),C_111 (ppm),C_112 (ppm),C_120 (ppm),C_121 (ppm),C_122 (ppm),C_200 (ppm),C_201 (ppm),C_202 (ppm),C_210 (ppm),C_211 (ppm),C_212 (ppm),C_220 (ppm),C_221 (ppm),C_222 (ppm),T_1 (deg),T_2 (deg),T_3 (deg),T_4 (deg),H_1 (% r.h.),H_2 (% r.h.),H_3 (% r.h.),H_4 (% r.h.),Wdir (deg),Wspd (m/s)
0.000,0.050,0.062,0.030,0.065,-0.000,0.007,-0.003,-0.020,-0.036,-0.025,-0.097,0.116,-0.026,-0.009,-0.002,-0.050,0.021,-0.010,-0.008,-0.067,0.027,-0.001,-0.025,-0.030,0.046,0.033,0.012,22.400,22.200,22.900,23.300,33.200,30.825,31.457,28.945,0.000,0.000
0.500,0.034,0.023,0.030,0.043,-0.001,0.007,-0.003,-0.022,-0.036,-0.021,0.032,0.116,-0.026,-0.009,-0.002,-0.050,0.021,-0.073,-0.020,-0.067,0.061,-0.001,-0.025,-0.030,0.046,0.033,0.012,22.400,22.200,22.900,23.300,33.200,30.832,31.455,28.945,0.000,0.000
1.000,0.048,0.023,0.004,0.043,-0.000,0.002,-0.003,-0.022,0.000,-0.021,0.032,0.116,-0.026,-0.009,-0.003,-0.050,0.021,-0.073,-0.020,-0.067,0.061,-0.001,-0.025,-0.030,0.002,-0.038,-0.006,22.400,22.200,22.900,23.300,33.200,30.840,31.454,28.943,0.000,0.000
1.500,0.034,0.023,0.004,0.043,0.007,0.002,0.008,-0.022,0.000,-0.021,0.032,-0.143,-0.026,0.007,-0.003,-0.050,0.021,-0.026,-0.053,-0.067,0.061,-0.004,-0.025,-0.030,0.002,-0.038,-0.006,22.400,22.200,22.900,23.300,33.200,30.847,31.452,28.942,0.000,0.000
2.000,0.014,0.010,-0.040,0.043,0.007,0.002,0.009,-0.022,0.000,-0.025,-0.033,-0.143,-0.026,0.069,0.000,-0.050,0.021,-0.010,-0.053,-0.059,0.048,-0.004,-0.017,-0.020,-0.050,0.031,-0.007,22.400,22.200,22.900,23.300,33.200,30.855,31.450,28.942,0.000,0.000
2.500,0.014,0.010,-0.054,0.043,0.007,0.002,0.008,-0.022,0.013,-0.025,-0.033,-0.143,0.003,0.069,0.000,-0.034,0.021,0.004,-0.053,-0.054,0.048,-0.004,0.011,-0.019,-0.050,-0.036,-0.007,22.400,22.200,22.900,23.300,33.200,30.862,31.449,28.942,0.000,0.000
3.000,0.048,0.010,-0.054,0.065,0.007,0.002,-0.003,-0.022,0.013,-0.025,-0.033,0.116,0.009,0.084,0.000,-0.031,0.021,0.004,-0.046,-0.057,0.048,-0.004,0.012,-0.020,-0.020,-0.036,0.002,22.400,22.200,22.900,23.300,33.200,30.870,31.449,28.942,0.000,0.000
3.500,0.014,0.010,-0.054,0.041,0.007,0.002,-0.003,-0.022,0.012,-0.025,0.062,0.116,0.009,0.084,0.000,-0.031,0.021,0.004,-0.046,-0.057,0.048,-0.004,0.019,-0.030,0.005,-0.035,0.008,22.400,22.200,22.900,23.300,33.200,30.877,31.447,28.942,0.000,0.000
4.000,0.004,0.010,0.013,-0.044,-0.031,0.002,-0.003,-0.022,-0.044,-0.025,0.062,0.116,0.009,0.084,0.000,-0.031,0.021,0.004,-0.046,-0.057,0.048,-0.004,0.019,-0.019,0.005,0.029,0.012,22.400,22.200,22.900,23.300,33.200,30.884,31.445,28.942,0.000,0.000
4.500,-0.002,0.010,0.030,-0.067,-0.031,0.002,-0.003,-0.022,-0.006,-0.025,0.062,0.116,0.009,0.084,0.000,-0.031,0.021,0.004,-0.058,-0.067,0.048,-0.004,0.019,-0.019,0.005,-0.035,0.012,22.400,22.200,22.900,23.300,33.200,30.892,31.444,28.941,0.000,0.000
